着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重（増減）
14,4,7,オウケンアマゾネス,牝3,54,北村宏,01:36.8,ハナ,14,265.8,35.2,3月3日,美浦和田勇,428(0)
15,7,13,アイシーブルー,牡3,54,△木幡育,01:36.9,3月4日,16,541.6,34.4,14-14,美浦田村,444(+18)
16,5,9,スカイテラス,牡3,56,フォー,01:37.2,2,10,71.6,35.1,10月10日,美浦和田郎,464(+12)
1,8,16,アクロアイト,牝3,54,丸山,01:49.5,,6,15.8,34.3,2003/3/3,美浦大竹,482(0)
2,3,6,レヴィオーサ,牡3,56,岩田康,01:49.5,クビ,2,4.2,34,2005/5/5,栗東友道,454(0)
3,2,4,ラパンセソバージュ,牡3,56,Ｍデム,01:49.6,1月2日,5,11.2,34.3,2004/3/3,美浦大竹,452(0)
4,6,11,トーホウラデン,牡3,56,福永,01:49.7,1月2日,3,4.7,33.9,2011/10/8,栗東高橋亮,494(0)
5,1,2,マカレナダンス,牡3,56,大野,01:49.7,クビ,10,111.6,34.8,2001/1/1,美浦鈴木伸,474(0)
6,4,7,ロードウィリアム,牡3,56,内田博,01:49.8,クビ,8,37.2,34.2,2008/5/5,美浦高柳瑞,442(0)
7,6,12,ペイシャフラッシュ,牡3,56,武士沢,01:50.4,3.1/2,13,166.4,34.7,2005/7/7,美浦高橋裕,486(0)
8,5,10,ストロマンテ,牡3,56,北村宏,01:50.6,1.1/4,14,192.4,34,14-15-15,美浦国枝,456(0)
9,7,14,ストラテジーマップ,牡3,56,横山典,01:50.8,1.1/2,4,6.3,34.9,2008/10/8,美浦菊沢,498(0)
10,8,15,コスモヒビキ,牡3,54,津村,01:50.9,1月2日,11,122.9,35.9,2002/2/2,美浦宗像,460(0)
11,1,1,デルマダイヤモンド,牡3,56,武藤,01:51.0,3月4日,7,28.9,35.2,2011/7/8,美浦戸田,450(0)
12,7,13,ヴェルズネイ,牝3,54,ルメー,01:51.1,クビ,1,2.6,34.8,2011/12/13,美浦堀,432(0)
13,5,9,ミキノルミナス,牡3,56,宮崎,01:51.4,2,12,156.7,35.3,2014/12/12,美浦南田,488(0)
14,4,8,ピオニーテソーロ,牝3,53,☆野中,01:51.6,1,9,91.2,35.3,2010/12/13,美浦金成,412(0)
15,3,5,キッチンドリンカー,牝3,52,△木幡育,01:52.3,4,16,271.9,36.5,2007/7/8,美浦本間,416(0)
16,2,3,モンジベロ,牡3,56,田中勝,01:54.6,大,15,214.5,36.2,16-16-16,美浦加藤和,452(0)
1,2,2,ハーツイストワール,牡4,56,田辺,02:25.4,,4,6.2,34.3,3-3-4-4,美浦国枝,482(-2)
2,8,12,スマイル,牡4,56,Ｍデム,02:25.6,1.1/4,2,4.1,34.6,5-3-4-4,美浦堀,526(+4)
3,3,3,ピンシェル,牡4,56,吉田豊,02:26.3,4,3,4.5,35.5,1-1-2-2,美浦高橋文,528(+12)
4,8,11,アルスラーン,牡5,57,北村宏,02:26.5,1.1/4,9,42.8,35.3,4-5-6-6,美浦小西,506(+8)
5,7,9,レオビヨンド,牡4,56,ルメー,02:26.8,2,1,3,35.6,7-5-6-6,栗東高柳大,480(+4)
6,5,5,ハンターバレー,牡4,56,田中勝,02:27.1,1.3/4,7,34.4,35.4,7-5-9-9,美浦宗像,496(+16)
7,6,8,ハギノアップロード,牡4,56,福永,02:27.3,1.1/4,6,17.4,35.2,10-9-11-11,栗東松田,490(-2)
8,1,1,インフルエンサー,牡6,55,△木幡育,02:27.8,3,11,90.3,36.4,5-5-8-8,美浦深山,448(+14)
9,5,6,ラヴィアンレーヴ,牡4,56,丸山,02:27.8,クビ,5,7.6,37.2,12-9-1-1,美浦田村,448(+2)
10,6,7,アイスブラスト,牡4,56,武藤,02:28.9,7,8,35.9,38.1,2-2-2-2,美浦戸田,498(+8)
11,7,10,ベルゲンハーバー,牡4,56,岩田康,02:30.1,7,12,240.7,38.1,10-9-9-10,美浦斎藤誠,464(-2)
1,1,2,フィルムフランセ,牝6,55,岩田康,01:18.3,6,,8.4,35.7,6月6日,栗東牧浦,492(0)
2,5,9,ニシノコトダマ,牡4,57,石川,01:18.3,クビ,7,8.5,36,4月4日,美浦手塚,516(+6)
3,6,12,オルクリスト,牡4,57,横山典,01:18.7,2.1/2,3,6.2,34.8,15-16,美浦杉浦,492(+6)
4,2,3,ペイシャボム,牡6,57,柴田善,01:19.0,1.1/2,8,15.2,37.8,2月2日,美浦本間,498(+14)
5,6,11,プロトイチバンボシ,牡4,57,内田博,01:19.1,1月2日,10,26.4,36.1,9月8日,美浦浅野,510(0)
6,5,10,フレッシビレ,牝5,55,横山和,01:19.1,クビ,14,145.5,36.1,9月8日,美浦藤原辰,516(-2)
7,8,16,ウメタロウ,牡5,57,江田照,01:19.2,クビ,4,7.6,35.8,12月13日,美浦伊藤大,504(+4)
8,7,14,シャインサンデー,牝6,55,大野,01:19.4,1,9,21,37,4月4日,美浦加藤征,422(+2)
9,4,7,ハイアーグラウンド,セ6,57,ミナリ,01:19.6,1.1/4,12,43.4,36.9,6月6日,美浦大和田,512(+4)
10,3,5,カシノブレンド,セ4,57,Ｍデム,01:19.6,クビ,2,5.4,35.9,14-14,美浦蛯名,448(0)
11,1,1,ステラルーチェ,牡8,57,武士沢,01:19.7,3月4日,15,199.7,37.9,3月3日,美浦蛯名,492(+2)
12,8,15,デルマカシャーサ,牝5,53,△木幡育,01:19.8,1月2日,16,259.5,36.8,8月8日,美浦田中博,468(+8)
13,4,8,ラインギャラント,牝5,55,武藤,01:20.1,2,11,42.8,36.5,15-14,美浦水野,456(+4)
